timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,temperature,cadence,fractional_cadence
2020-02-12 08:17:38-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:17:39-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:17:40-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:17:41-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:17:42-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:17:43-08:00,,,0.0,,,,,108,27,,
2020-02-12 08:17:44-08:00,,,0.0,,,,,104,27,,
2020-02-12 08:17:45-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:17:46-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:17:47-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:17:48-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:17:49-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:17:50-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:17:52-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:17:53-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:17:54-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:17:56-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:17:58-08:00,,,0.0,,,,,101,27,,
2020-02-12 08:17:59-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:18:00-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:18:01-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:18:02-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:18:04-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:18:06-08:00,,,0.0,,,,,101,27,,
2020-02-12 08:18:08-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:18:10-08:00,,,0.0,,,,,101,27,,
2020-02-12 08:18:11-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:18:13-08:00,,,0.0,,,,,101,27,,
2020-02-12 08:18:14-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:18:15-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:18:16-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:18:18-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:18:19-08:00,,,0.0,,,,,104,27,,
2020-02-12 08:18:21-08:00,,,0.0,,,,,105,27,,
2020-02-12 08:18:23-08:00,,,0.0,,,,,107,27,,
2020-02-12 08:18:24-08:00,,,0.0,,,,,108,27,,
2020-02-12 08:18:26-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:18:27-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:18:29-08:00,,,0.0,,,,,112,27,,
2020-02-12 08:18:30-08:00,,,0.0,,,,,114,27,,
2020-02-12 08:18:31-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:18:32-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:18:33-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:18:34-08:00,,,0.0,,,,,108,27,,
2020-02-12 08:18:36-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:18:37-08:00,,,0.0,,,,,107,27,,
2020-02-12 08:18:39-08:00,,,0.0,,,,,108,27,,
2020-02-12 08:18:40-08:00,,,0.0,,,,,107,27,,
2020-02-12 08:18:41-08:00,,,0.0,,,,,106,27,,
2020-02-12 08:18:42-08:00,,,0.0,,,,,107,27,,
2020-02-12 08:18:43-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:18:45-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:18:46-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:18:47-08:00,,,0.0,,,,,107,27,,
2020-02-12 08:18:48-08:00,,,0.0,,,,,108,27,,
2020-02-12 08:18:49-08:00,,,0.0,,,,,106,27,,
2020-02-12 08:18:50-08:00,,,0.0,,,,,105,27,,
2020-02-12 08:18:51-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:18:53-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:18:54-08:00,,,0.0,,,,,105,27,,
2020-02-12 08:18:55-08:00,,,0.0,,,,,106,27,,
2020-02-12 08:18:56-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:18:59-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:19:00-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:19:03-08:00,,,0.0,,,,,108,27,,
2020-02-12 08:19:04-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:19:05-08:00,,,0.0,,,,,108,27,,
2020-02-12 08:19:06-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:19:07-08:00,,,0.0,,,,,112,27,,
2020-02-12 08:19:08-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:19:12-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:19:13-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:19:14-08:00,,,0.0,,,,,107,27,,
2020-02-12 08:19:15-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:19:17-08:00,,,0.0,,,,,112,27,,
2020-02-12 08:19:18-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:19:20-08:00,,,0.0,,,,,114,27,,
2020-02-12 08:19:21-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:19:22-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:19:24-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:19:25-08:00,,,0.0,,,,,112,27,,
2020-02-12 08:19:26-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:19:28-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:19:30-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:19:31-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:19:33-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:19:35-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:19:36-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:19:37-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:19:38-08:00,,,0.0,,,,,108,27,,
2020-02-12 08:19:39-08:00,,,0.0,,,,,107,27,,
2020-02-12 08:19:40-08:00,,,0.0,,,,,108,27,,
2020-02-12 08:19:43-08:00,,,0.0,,,,,107,27,,
2020-02-12 08:19:46-08:00,,,0.0,,,,,105,27,,
2020-02-12 08:19:47-08:00,,,0.0,,,,,104,27,,
2020-02-12 08:19:48-08:00,,,0.0,,,,,105,27,,
2020-02-12 08:19:50-08:00,,,0.0,,,,,107,27,,
2020-02-12 08:19:52-08:00,,,0.0,,,,,104,27,,
2020-02-12 08:19:53-08:00,,,0.0,,,,,105,27,,
2020-02-12 08:19:54-08:00,,,0.0,,,,,104,27,,
2020-02-12 08:19:55-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:19:56-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:19:58-08:00,,,0.0,,,,,101,27,,
2020-02-12 08:20:02-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:20:04-08:00,,,0.0,,,,,101,27,,
2020-02-12 08:20:05-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:20:06-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:20:07-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:20:10-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:20:11-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:20:12-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:20:13-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:20:14-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:20:16-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:20:17-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:20:18-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:20:20-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:20:21-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:20:22-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:20:25-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:20:26-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:20:27-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:20:29-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:20:30-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:20:31-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:20:32-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:20:33-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:20:34-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:20:35-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:20:37-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:20:38-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:20:39-08:00,,,0.0,,,,,95,27,,
2020-02-12 08:20:42-08:00,,,0.0,,,,,94,27,,
2020-02-12 08:20:46-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:20:47-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:20:48-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:20:49-08:00,,,0.0,,,,,101,27,,
2020-02-12 08:20:50-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:20:51-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:20:52-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:20:55-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:20:56-08:00,,,0.0,,,,,101,27,,
2020-02-12 08:20:57-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:20:58-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:20:59-08:00,,,0.0,,,,,101,27,,
2020-02-12 08:21:00-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:21:01-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:21:02-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:21:03-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:21:04-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:21:05-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:21:06-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:21:08-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:21:09-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:21:10-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:21:12-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:21:13-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:21:14-08:00,,,0.0,,,,,107,27,,
2020-02-12 08:21:15-08:00,,,0.0,,,,,106,27,,
2020-02-12 08:21:18-08:00,,,0.0,,,,,105,27,,
2020-02-12 08:21:19-08:00,,,0.0,,,,,106,27,,
2020-02-12 08:21:20-08:00,,,0.0,,,,,108,27,,
2020-02-12 08:21:21-08:00,,,0.0,,,,,106,27,,
2020-02-12 08:21:22-08:00,,,0.0,,,,,104,27,,
2020-02-12 08:21:24-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:21:25-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:21:27-08:00,,,0.0,,,,,104,27,,
2020-02-12 08:21:29-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:21:30-08:00,,,0.0,,,,,102,27,,
2020-02-12 08:21:31-08:00,,,0.0,,,,,101,27,,
2020-02-12 08:21:34-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:21:35-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:21:36-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:21:37-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:21:38-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:21:40-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:21:41-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:21:44-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:21:46-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:21:47-08:00,,,0.0,,,,,95,27,,
2020-02-12 08:21:49-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:21:50-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:21:51-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:21:53-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:21:54-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:21:57-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:21:58-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:21:59-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:00-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:22:01-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:02-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:22:03-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:22:05-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:22:06-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:22:07-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:22:11-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:12-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:22:14-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:22:15-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:22:19-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:22:20-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:22:21-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:22:22-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:22:23-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:25-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:22:27-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:28-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:22:29-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:30-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:22:31-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:33-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:22:35-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:36-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:22:37-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:38-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:22:39-08:00,,,0.0,,,,,94,27,,
2020-02-12 08:22:40-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:22:41-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:45-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:22:46-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:47-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:22:48-08:00,,,0.0,,,,,99,27,,
2020-02-12 08:22:49-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:22:51-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:22:54-08:00,,,0.0,,,,,95,27,,
